match_id,team1,team2,venue,first_innings_team,is_team1_batting_first,home_advantage,h2h_win_rate,recent_form_t1,recent_form_t2,team1_overall_win_rate,team2_overall_win_rate,avg_score_venue,toss_venue_win_rate,venue_win_rate_t1,venue_win_rate_t2,t1_top_batsmen_avg,t2_top_batsmen_avg,t1_top_bowler_econ,t2_top_bowler_econ,team1_won
1430,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,1,0,0,0.1,0.6,0.182,0.442,160.9,0.494,0,0.5,15.5,24.5,7.25,6.98,0
1415,South Africa,Australia,New Wanderers Stadium,Australia,0,0,0.429,0.6,0.3,0.622,0.523,167.4,0.471,0.667,0,20.43,12.8,6.94,6.98,1
1431,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,0,0,0,0.1,0.6,0.167,0.455,142.6,0.4,0,0.5,7.75,24.5,7.25,6.98,0
1425,India,England,Eden Gardens,India,1,0,0.333,0.6,0.7,0.536,0.5,160.9,0.492,0.5285,0.5,25.1,9,6.94,8.64,0
1432,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,0,0,0.667,0.3,0.7,0.6,0.6,160.9,0.489,0.5285,0.5,14.75,24.5,6.55,6.98,1
1418,Australia,India,Stadium Australia,Australia,1,0,0.5,0.2,0.5,0.511,0.517,160.9,0.489,0.5285,0.5,22.03,24.5,11,6.98,1
1419,Australia,India,Melbourne Cricket Ground,Australia,1,1,0.6,0.3,0.4,0.522,0.5,156.9,0.492,1,0.5,23.42,24.5,11,6.98,0
1420,New Zealand,Zimbabwe,Eden Park,Zimbabwe,0,0,1,0.6,0.154,0.467,0.154,156.2,0.333,0.333,0.5,25.1,7.75,6.94,7.25,1
1421,New Zealand,Zimbabwe,Seddon Park,Zimbabwe,0,0,1,0.7,0.143,0.478,0.143,160.9,0.487,1,0.5,25.1,7.75,6.94,7.25,1
1422,New Zealand,South Africa,Westpac Stadium,South Africa,0,0,0.2,0.7,0.7,0.489,0.632,160.9,0.484,0.333,0.5,25.1,19.12,6.94,6.98,1
